animal_id,organ_id,mean,standard_deviation,sample_size,number_of_studies,reference_string
13,27,0.005,0.001,42,1,1
13,2,13,3.06,40,2,"2, 3"
13,3,3.76,0.28,80,2,"3, 4"
13,4,10.73,1,40,2,"2, 3"
13,6,,,,,
13,38,0.63,0.11,131,3,"4,5,6"
13,12,3.47,0.4,60,1,4
13,13,1.44,0.31,116,4,"5,6,7,8"
13,14,1.04,0.17,42,2,"5, 8"
13,17,0.36,0.05,196,6,"3,4,5,6,7,8"
13,18,0.35,0.11,1318,8,"1,3,5,6,7,8,9,10"
13,19,1.89,0.28,1002,8,"1, 3,4,5,6,7,8, 10"
13,20,0.9,0.19,119,2,"4, 6"
13,21,34.09,2.37,19,1,2
13,22,0.1,0.02,12,1,5
13,23,0.21,0.07,492,4,"5, 6, 9, 10"
13,33,3.28,0.84,42,1,1
13,34,0.011,0.002,42,1,1
13,35,0.005,0.001,42,1,1
13,39,5.07,0.85,40,2,"1, 3"
13,26,22.14,,,,
