animal_id,organ_id,mean,standard_deviation,sample_size,number_of_studies,reference_string,parameter_id
28,1,0.008,0.002,24,2,"1, 2",1
28,2,17.67,2.48,154,3,"3, 5, 12",1
28,3,5.29,0.54,103,3,"6,7,8",1
28,4,6.64,0.48,43,2,"5,9",1
28,5,0.28,0.03,15,1,2,1
28,6,5.08,1.42,34,2,"8,10",1
28,38,3.09,0.94,16,1,11,1
28,9,0.99,0.25,29,2,"2, 10",1
28,8,0.24,0.05,29,2,"2, 10",1
28,10,0.21,0.06,38,3,"1, 2, 10",1
28,11,0.42,0.14,58,4,"1, 2, 8, 10",1
28,13,2.36,0.45,88,4,"4,8,10,11",1
28,71,0.09,0.03,9,1,1,1
28,58,0.16,0.09,9,1,1,1
28,57,0.56,0.09,9,1,1,1
28,14,1.24,0.3,88,4,"4,8,10,11",1
28,17,0.44,0.09,100,6,"1,2,4,6,8,10",1
28,18,0.31,0.06,118,7,"1,2,4,6,8,10,11",1
28,19,1.77,0.24,195,8,"1,2,4,6-8,10,11",1
28,20,1.91,0.21,155,5,"4, 6-8,10",1
28,21,24.78,2.2,43,2,"5,9",1
28,39,9.4,0.77,38,1,4,1
28,22,0.1,0.02,24,2,"1,2",1
28,44,0.0015,0.0003,15,1,2,1
28,23,0.32,0.15,50,4,"1,2,6,8",1
28,24,0.01,0.002,15,1,2,1
28,26,25.99,,,,,1
